中文,英文,,,,,,,,,,,,,,,,,,
习近平新时代中国特色社会主义思想,Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era,,,,,,,,,,,,,,,,,,
中国共产党,the Communist Party of China (the CPC),,,,,,,,,,,,,,,,,,
中国梦,Chinese Dream,,,,,,,,,,,,,,,,,,
毛泽东思想,Mao Zedong Thought,,,,,,,,,,,,,,,,,,
邓小平理论,Deng Xiaoping Theory,,,,,,,,,,,,,,,,,,
“三个代表”重要思想,the Theory of Three Represents,,,,,,,,,,,,,,,,,,
科学发展观,Scientific Outlook on Development,,,,,,,,,,,,,,,,,,
改革开放,reform and opening up,,,,,,,,,,,,,,,,,,
“两个一百年”奋斗目标,the Two Centenary Goals,,,,,,,,,,,,,,,,,,
 第一个百年奋斗目标,the First Centenary Goal,,,,,,,,,,,,,,,,,,
第二个百年奋斗目标,the Second Centenary Goal,,,,,,,,,,,,,,,,,,
中国特色社会主义,socialism with Chinese characteristics,,,,,,,,,,,,,,,,,,
社会主义现代化,socialist modernization,,,,,,,,,,,,,,,,,,
社会主义现代化国家,a modern socialist country,,,,,,,,,,,,,,,,,,
中国特色社会主义根本制度、基本制度、重要制度,"the fundamental, basic and important systems of Chinese socialism",,,,,,,,,,,,,,,,,,
中国特色社会主义伟大事业,the great cause of Chinese socialism,,,,,,,,,,,,,,,,,,
 中国特色社会主义道路,the path of socialism with Chinese characteristics,,,,,,,,,,,,,,,,,,
 党的建设新的伟大工程,the great new project of Party building,,,,,,,,,,,,,,,,,,
以人民为中心的发展思想,the people-centered philosophy of development,,,,,,,,,,,,,,,,,,
共同富裕,shared prosperity// common prosperity,,,,,,,,,,,,,,,,,,
“五位一体”总体布局,the Five-sphere Integrated Plan,,,,,,,,,,,,,,,,,,
“四个全面”战略布局,the Four-pronged Comprehensive Strategy,,,,,,,,,,,,,,,,,,
“四个自信”,the Four-sphere Confidence,,,,,,,,,,,,,,,,,,
中国方案,Chinese Approach,,,,,,,,,,,,,,,,,,
全面建成小康社会,the building of a moderately prosperous society in all respects,,,,,,,,,,,,,,,,,,
“十四五”规划,the 14th Five-Year Plan,,,,,,,,,,,,,,,,,,
 三大攻坚战,three tough battles,,,,,,,,,,,,,,,,,,
顶层设计,top-level design,,,,,,,,,,,,,,,,,,
人民当家作主,people’s position/status as masters of the country,,,,,,,,,,,,,,,,,,
《中华人民共和国宪法》,the Constitution of the People’s Republic of China,,,,,,,,,,,,,,,,,,
全面依法治国,to advance law-based governance in all respects,,,,,,,,,,,,,,,,,,
 社会主义法制,socialist legal system,,,,,,,,,,,,,,,,,,
法治国家、法治政府、法治社会,"a law-based country, government and society",,,,,,,,,,,,,,,,,,
法律援助,legal aid,,,,,,,,,,,,,,,,,,
司法公正,judicial justice,,,,,,,,,,,,,,,,,,
社会稳定,social stability,,,,,,,,,,,,,,,,,,
社会公平正义,social fairness and justice,,,,,,,,,,,,,,,,,,
实事求是,to seek truth from facts,,,,,,,,,,,,,,,,,,
集中力量办大事,to pool all our resources to complete major missions//to pool our efforts to accomplish big tasks,,,,,,,,,,,,,,,,,,
国务院,State Council,,,,,,,,,,,,,,,,,,
全国人民代表大会,National People’s Congress (NPC),,,,,,,,,,,,,,,,,,
爱国统一战线,patriotic United Front,,,,,,,,,,,,,,,,,,
祖国内地；大陆,the Chinese mainland,,,,,,,,,,,,,,,,,,
和平统一,peaceful reunification,,,,,,,,,,,,,,,,,,
 特别行政区,special administrative region,,,,,,,,,,,,,,,,,,
“一国两制”,"one country, two systems",,,,,,,,,,,,,,,,,,
香港回归,Hong Kong’s return to China,,,,,,,,,,,,,,,,,,
东方之珠,the Pearl of the Orient,,,,,,,,,,,,,,,,,,
台湾海峡；两岸,Taiwan Straits,,,,,,,,,,,,,,,,,,
一个中国原则,one-China principle,,,,,,,,,,,,,,,,,,
“九二共识”,the 1992 Consensus,,,,,,,,,,,,,,,,,,
 “港人治港”、“澳人治澳”,"the people of Hong Kong administer Hong Kong, the people of Macao administer Macao//the people of Hong Kong govern Hong Kong, the people of Macao govern Macao",,,,,,,,,,,,,,,,,,
（海峡）两岸关系,cross-Straits relations,,,,,,,,,,,,,,,,,,
 “两个维护”,the Two Upholds,,,,,,,,,,,,,,,,,,
 “四个意识”,the Four Consciousnesses,,,,,,,,,,,,,,,,,,
全心全意为人民服务,to serve the people wholeheartedly,,,,,,,,,,,,,,,,,,
不忘初心，牢记使命,to remain/stay true to our original aspiration and founding mission,,,,,,,,,,,,,,,,,,
 反腐败,anti-corruption,,,,,,,,,,,,,,,,,,
党的基本理论、基本路线、基本方略,"the Party’s underlying theories, basic guidelines, and fundamental principles",,,,,,,,,,,,,,,,,,
伟大斗争、伟大工程、伟大事业、伟大梦想,"the great struggle, the great project, the great cause and the great dream",,,,,,,,,,,,,,,,,,
党的全面领导,overall Party leadership,,,,,,,,,,,,,,,,,,
马克思主义执政党,Marxist governing party,,,,,,,,,,,,,,,,,,
群众路线,mass line,,,,,,,,,,,,,,,,,,
批评和自我批评,criticism and self-criticism,,,,,,,,,,,,,,,,,,
党性,Party consciousness// Party spirit,,,,,,,,,,,,,,,,,,
 重要战略机遇期,important period of strategic opportunity,,,,,,,,,,,,,,,,,,
建设世界科技强国,to build China into a world leader in science and technology,,,,,,,,,,,,,,,,,,
习近平新时代中国特色社会主义经济思想,the Xi Jinping thought on the economy of socialism with Chinese characteristics in the new era,,,,,,,,,,,,,,,,,,
经济全球化,economic globalization,,,,,,,,,,,,,,,,,,
四个现代化,Four Modernizations,,,,,,,,,,,,,,,,,,
实体经济,real economy,,,,,,,,,,,,,,,,,,
新发展理念,new development philosophy,,,,,,,,,,,,,,,,,,
 创新发展,innovative development,,,,,,,,,,,,,,,,,,
协调发展,coordinated development,,,,,,,,,,,,,,,,,,
现代化经济体系,modern economic system,,,,,,,,,,,,,,,,,,
新常态,new normal,,,,,,,,,,,,,,,,,,
高质量发展,high-quality development,,,,,,,,,,,,,,,,,,
长江经济带,the Yangtze River Economic Belt,,,,,,,,,,,,,,,,,,
长江三角洲,the Yangtze River Delta,,,,,,,,,,,,,,,,,,
珠江三角洲,the Pearl River Delta,,,,,,,,,,,,,,,,,,
粤港澳大湾区,the Guangdong-Hong Kong-Macao Greater Bay Area,,,,,,,,,,,,,,,,,,
京津冀协同发展,coordinated development of the Beijing-Tianjin-Hebei Region,,,,,,,,,,,,,,,,,,
国家大数据战略,national big data strategy,,,,,,,,,,,,,,,,,,
经济体制改革,economic reform,,,,,,,,,,,,,,,,,,
社会主义市场经济,socialist market economy,,,,,,,,,,,,,,,,,,
创新驱动发展战略,innovation-driven development strategy,,,,,,,,,,,,,,,,,,
创新型国家,an innovative country,,,,,,,,,,,,,,,,,,
“互联网+”行动计划,“Internet Plus” action plan,,,,,,,,,,,,,,,,,,
大众创业、万众创新,mass entrepreneurship and innovation,,,,,,,,,,,,,,,,,,
东北地区全面振兴,comprehensive revitalization of the northeast,,,,,,,,,,,,,,,,,,
城乡融合发展,integrated urban-rural development,,,,,,,,,,,,,,,,,,
乡村振兴战略,rural revitalization strategy,,,,,,,,,,,,,,,,,,
新一轮农村改革,a new round of rural reform,,,,,,,,,,,,,,,,,,
 “三农”,"agriculture, rural areas and rural people",,,,,,,,,,,,,,,,,,
农业现代化,agricultural modernization,,,,,,,,,,,,,,,,,,
海洋经济,marine economy,,,,,,,,,,,,,,,,,,
海洋强国,a strong maritime nation/country,,,,,,,,,,,,,,,,,,
丝绸之路经济带,the Silk Road Economic Belt,,,,,,,,,,,,,,,,,,
21世纪海上丝绸之路,the 21st Century Maritime Silk Road,,,,,,,,,,,,,,,,,,
蓝色伙伴关系,blue partnerships,,,,,,,,,,,,,,,,,,
数字经济,digital economy,,,,,,,,,,,,,,,,,,
深圳经济特区,Shenzhen Special Economic Zone,,,,,,,,,,,,,,,,,,
自由贸易区,Free Trade Zone,,,,,,,,,,,,,,,,,,
社会主义核心价值观,core socialist values,,,,,,,,,,,,,,,,,,
中华民族共同体意识,a sense of identity of the Chinese nation,,,,,,,,,,,,,,,,,,
中国精神,Chinese spirit,,,,,,,,,,,,,,,,,,
爱国主义教育,patriotic education,,,,,,,,,,,,,,,,,,
“七一勋章”,July 1 Medal,,,,,,,,,,,,,,,,,,
五四运动,the May 4th Movement,,,,,,,,,,,,,,,,,,
五四精神,the May 4th spirit,,,,,,,,,,,,,,,,,,
红船精神,the Red Boat spirit// the spirit of the Red Boat,,,,,,,,,,,,,,,,,,
井冈山精神,the Jinggangshan spirit// the spirit of Jinggang Mountains,,,,,,,,,,,,,,,,,,
长征精神,the spirit of the Long March,,,,,,,,,,,,,,,,,,
“两弹一星”精神,"the spirit of “Two Bombs, One Satellite”",,,,,,,,,,,,,,,,,,
女排精神,the spirit of the Chinese national women’s volleyball team,,,,,,,,,,,,,,,,,,
钉钉子精神,the perseverance to hammer away until a task is done,,,,,,,,,,,,,,,,,,
企业家精神,the spirit of entrepreneurship,,,,,,,,,,,,,,,,,,
改革创新精神,the spirit of reform and innovation,,,,,,,,,,,,,,,,,,
工匠精神,the spirit of craftsmanship,,,,,,,,,,,,,,,,,,
丝路精神,the Silk Road spirit,,,,,,,,,,,,,,,,,,
“治大国若烹小鲜”,Governing a big country is as delicate as frying a small fish.,,,,,,,,,,,,,,,,,,
 人民日益增长的美好生活需要,people’s growing expectation for a better life//people’s ever-growing need for a better life,,,,,,,,,,,,,,,,,,
人的全面发展,well-rounded personal development,,,,,,,,,,,,,,,,,,
民间外交,people-to-people diplomacy,,,,,,,,,,,,,,,,,,
民间交流；人文交流,people-to-people exchanges,,,,,,,,,,,,,,,,,,
革命老区,old revolutionary base areas,,,,,,,,,,,,,,,,,,
工人阶级,working class,,,,,,,,,,,,,,,,,,
共产主义青年团；共青团,Communist Youth League,,,,,,,,,,,,,,,,,,
五四青年节,China’s Youth Day,,,,,,,,,,,,,,,,,,
中国少年先锋队；少先队,the Chinese Young Pioneers,,,,,,,,,,,,,,,,,,
劳动模范,model workers,,,,,,,,,,,,,,,,,,
义务教育,compulsory education,,,,,,,,,,,,,,,,,,
 “一票否决”,one vote against meaning veto,,,,,,,,,,,,,,,,,,
农民工,migrant workers,,,,,,,,,,,,,,,,,,
贫困地区,impoverished areas,,,,,,,,,,,,,,,,,,
绝对贫困,absolute poverty,,,,,,,,,,,,,,,,,,
脱贫,poverty alleviation// poverty elimination,,,,,,,,,,,,,,,,,,
精准扶贫、精准脱贫,targeted poverty reduction and alleviation//targeted poverty alleviation and elimination,,,,,,,,,,,,,,,,,,
健康中国行动,Healthy China initiative,,,,,,,,,,,,,,,,,,
全面开放体系,system for opening up on all fronts,,,,,,,,,,,,,,,,,,
学习型社会,learning society,,,,,,,,,,,,,,,,,,
智慧城市,smart city,,,,,,,,,,,,,,,,,,
总体国家安全观,holistic approach to national security,,,,,,,,,,,,,,,,,,
国家安全意识,awareness of national security,,,,,,,,,,,,,,,,,,
国防,national defense,,,,,,,,,,,,,,,,,,
国防和军队现代化,modernization of our national defense and armed forces,,,,,,,,,,,,,,,,,,
少数民族,ethnic minorities,,,,,,,,,,,,,,,,,,
鸦片战争,Opium Wars,,,,,,,,,,,,,,,,,,
 辛亥革命,the Revolution of 1911// the 1911 Revolution,,,,,,,,,,,,,,,,,,
新文化运动,the New Culture Movement,,,,,,,,,,,,,,,,,,
南昌起义,the Nanchang Uprising,,,,,,,,,,,,,,,,,,
世界反法西斯战争,the World Anti-Fascist War,,,,,,,,,,,,,,,,,,
中国人民抗日战争,Chinese People’s War of Resistance Against Japanese Aggression,,,,,,,,,,,,,,,,,,
解放战争,the War of Liberation,,,,,,,,,,,,,,,,,,
中国人民解放军,People’s Liberation Army (PLA),,,,,,,,,,,,,,,,,,
中国人民志愿军,Chinese People’s Volunteers (CPV),,,,,,,,,,,,,,,,,,
抗美援朝战争,the War to Resist U.S. Aggression and Aid Korea,,,,,,,,,,,,,,,,,,
《义勇军进行曲》,March of the Volunteers,,,,,,,,,,,,,,,,,,
和平共处五项原则,the Five Principles of Peaceful Coexistence,,,,,,,,,,,,,,,,,,
杂交水稻,hybrid rice,,,,,,,,,,,,,,,,,,
中国高铁,China Railway High-speed (CRH)// China’s high-speed railway,,,,,,,,,,,,,,,,,,
中国天眼,China Sky Eye,,,,,,,,,,,,,,,,,,
孔子学院,Confucius Institute,,,,,,,,,,,,,,,,,,
绿水青山就是金山银山。,Lucid waters and lush mountains are invaluable assets.,,,,,,,,,,,,,,,,,,
人与自然和谐共生,harmony between humanity/man and nature,,,,,,,,,,,,,,,,,,
可持续发展,sustainable development,,,,,,,,,,,,,,,,,,
绿色发展体系,green development system,,,,,,,,,,,,,,,,,,
尊重自然、顺应自然、保护自然,"to respect Nature, follow Nature’s laws and protect Nature//to respect, accommodate, and protect nature",,,,,,,,,,,,,,,,,,
全球环境治理,global environmental governance,,,,,,,,,,,,,,,,,,
生态文明理念,philosophy of ecological civilization,,,,,,,,,,,,,,,,,,
“双碳”目标；碳达峰、碳中和目标,carbon peaking and carbon neutrality goals,,,,,,,,,,,,,,,,,,
 绿色发展、循环发展、低碳发展,"green, circular, and low-carbon development",,,,,,,,,,,,,,,,,,
节能环保,energy conservation and environmental protection,,,,,,,,,,,,,,,,,,
生态红线,ecological red lines,,,,,,,,,,,,,,,,,,
新时代中国特色社会主义外交思想,the thought on foreign affairs of socialism with Chinese characteristics in the new era,,,,,,,,,,,,,,,,,,
中国特色大国外交,major-country diplomacy with Chinese characteristics,,,,,,,,,,,,,,,,,,
乒乓外交,ping-pong diplomacy,,,,,,,,,,,,,,,,,,
独立自主的和平外交政策,independent foreign policy of peace,,,,,,,,,,,,,,,,,,
新型大国关系,new model of major-country relationship,,,,,,,,,,,,,,,,,,
南南合作,South-South cooperation,,,,,,,,,,,,,,,,,,
南北对话,North-South dialogue,,,,,,,,,,,,,,,,,,
南北差距,North-South gap,,,,,,,,,,,,,,,,,,
侨胞,overseas Chinese,,,,,,,,,,,,,,,,,,
和平发展道路,the path of peaceful development,,,,,,,,,,,,,,,,,,
新型国际关系,a new model/type of international relations,,,,,,,,,,,,,,,,,,
战略伙伴关系,strategic partnership,,,,,,,,,,,,,,,,,,
人类命运共同体,a global community of shared future// a community of shared future for mankind,,,,,,,,,,,,,,,,,,
“一带一路”倡议,Belt and Road Initiative,,,,,,,,,,,,,,,,,,
 文明交流互鉴,exchanges and mutual learning among civilizations,,,,,,,,,,,,,,,,,,
全球伙伴关系,global partnership,,,,,,,,,,,,,,,,,,
全球治理,global governance,,,,,,,,,,,,,,,,,,
利益共同体,a community of shared interests,,,,,,,,,,,,,,,,,,
炎黄子孙,descendants of Yan and Huang,,,,,,,,,,,,,,,,,,
中华文明,Chinese civilization,,,,,,,,,,,,,,,,,,
古代丝绸之路,ancient Silk Road,,,,,,,,,,,,,,,,,,
郑和下西洋,Zheng He’s voyages to the “Western Oceans”,,,,,,,,,,,,,,,,,,
甲骨文,oracle bone inscriptions,,,,,,,,,,,,,,,,,,
秦始皇,Qin Shi Huang,,,,,,,,,,,,,,,,,,
诸子百家,Hundred Schools of Thought,,,,,,,,,,,,,,,,,,
孔子,Confucius,,,,,,,,,,,,,,,,,,
庄子,Chuang Tzu// Zhuangzi,,,,,,,,,,,,,,,,,,
老子,Lao Tzu// Laozi,,,,,,,,,,,,,,,,,,
孟子,Mencius// Mengzi,,,,,,,,,,,,,,,,,,
儒家文化,Confucian culture,,,,,,,,,,,,,,,,,,
道家文化,Taoist culture,,,,,,,,,,,,,,,,,,
宋明理学,Neo-Confucianism,,,,,,,,,,,,,,,,,,
天人合一,Oneness of Heaven and Man,,,,,,,,,,,,,,,,,,
五行,Five Elements,,,,,,,,,,,,,,,,,,
阴和阳,Yin and Yang,,,,,,,,,,,,,,,,,,
科举制度,imperial examination system,,,,,,,,,,,,,,,,,,
京剧,Peking Opera,,,,,,,,,,,,,,,,,,
昆曲,Kunqu Opera,,,,,,,,,,,,,,,,,,
粤剧,Cantonese Opera,,,,,,,,,,,,,,,,,,
木偶戏,puppet show,,,,,,,,,,,,,,,,,,
皮影戏,shadow play// shadow puppetry,,,,,,,,,,,,,,,,,,
相声,crosstalk// comic dialogue,,,,,,,,,,,,,,,,,,
锣鼓,gongs and drums,,,,,,,,,,,,,,,,,,
中国杂技,Chinese acrobatics,,,,,,,,,,,,,,,,,,
中国陶瓷,Chinese ceramics,,,,,,,,,,,,,,,,,,
中国象棋,Chinese chess,,,,,,,,,,,,,,,,,,
中国武术,Chinese martial arts,,,,,,,,,,,,,,,,,,
中国功夫,Chinese Kung Fu,,,,,,,,,,,,,,,,,,
太极拳,Tai Chi Chuan// Tai Chi,,,,,,,,,,,,,,,,,,
汉字,Chinese characters,,,,,,,,,,,,,,,,,,
文言文,classical Chinese// literary Chinese,,,,,,,,,,,,,,,,,,
繁体字,traditional Chinese characters,,,,,,,,,,,,,,,,,,
中国书法,Chinese calligraphy,,,,,,,,,,,,,,,,,,
国画,traditional Chinese painting,,,,,,,,,,,,,,,,,,
中国山水画,Chinese landscape painting,,,,,,,,,,,,,,,,,,
中国人物画,Chinese figure painting,,,,,,,,,,,,,,,,,,
中国花鸟画,Chinese flower-and-bird painting,,,,,,,,,,,,,,,,,,
唐诗,poems of the Tang Dynasty// Tang poems,,,,,,,,,,,,,,,,,,
宋词,Ci poems of the Song Dynasty,,,,,,,,,,,,,,,,,,
六艺,Six Arts,,,,,,,,,,,,,,,,,,
八仙,Eight Immortals,,,,,,,,,,,,,,,,,,
《牛郎织女》,The Cowherd and the Weaver Girl,,,,,,,,,,,,,,,,,,
《孟姜女》,Meng Jiangnv,,,,,,,,,,,,,,,,,,
《梁山伯与祝英台》,Liang Shanbo and Zhu Yingtai// The Butterfly Lovers,,,,,,,,,,,,,,,,,,
《白蛇传》,Legend of the White Snake,,,,,,,,,,,,,,,,,,
 四大名著,Four Great Classical Novels,,,,,,,,,,,,,,,,,,
《红楼梦》,A Dream of Red Mansions// The Dream of the Red Chamber// The Story of the Stone,,,,,,,,,,,,,,,,,,
《水浒传》,The Water Margin// Outlaws of the Marsh,,,,,,,,,,,,,,,,,,
《三国演义》,The Romance of the Three Kingdoms,,,,,,,,,,,,,,,,,,
《西游记》,The Journey to the West,,,,,,,,,,,,,,,,,,
《西厢记》,The Romance of the Western Chamber,,,,,,,,,,,,,,,,,,
《牡丹亭》,The Peony Pavilion,,,,,,,,,,,,,,,,,,
《孙子兵法》,The Art of War,,,,,,,,,,,,,,,,,,
 三十六计,Thirty-six Strategies,,,,,,,,,,,,,,,,,,
四书五经,The Four Books and Five Classics,,,,,,,,,,,,,,,,,,
《论语》,The Analects of Confucius,,,,,,,,,,,,,,,,,,
《易经》,The Book of Changes// The I Ching,,,,,,,,,,,,,,,,,,
《诗经》,The Book of Songs,,,,,,,,,,,,,,,,,,
《史记》,Records of the Grand Historian,,,,,,,,,,,,,,,,,,
四大发明,Four Great Inventions,,,,,,,,,,,,,,,,,,
四大书院,Four Great Academies,,,,,,,,,,,,,,,,,,
四大名绣,Four Famous Embroidery Styles,,,,,,,,,,,,,,,,,,
文房四宝,Four Treasures of the Study,,,,,,,,,,,,,,,,,,
宣纸,Xuan paper//rice paper,,,,,,,,,,,,,,,,,,
四大菜系,Four Great Chinese Cuisines,,,,,,,,,,,,,,,,,,
中国剪纸,Chinese paper-cutting,,,,,,,,,,,,,,,,,,
春联,spring couplets,,,,,,,,,,,,,,,,,,
中国结,Chinese knot,,,,,,,,,,,,,,,,,,
春节,Spring Festival,,,,,,,,,,,,,,,,,,
端午节,Dragon Boat Festival,,,,,,,,,,,,,,,,,,
元宵节,Lantern Festival,,,,,,,,,,,,,,,,,,
中秋节,Mid-Autumn Festival,,,,,,,,,,,,,,,,,,
 清明节,Qingming Festival// Tomb-sweeping Day,,,,,,,,,,,,,,,,,,
重阳节,Double Ninth Festival,,,,,,,,,,,,,,,,,,
中医,traditional Chinese medicine,,,,,,,,,,,,,,,,,,
针灸,acupuncture,,,,,,,,,,,,,,,,,,
《黄帝内经》,The Yellow Emperor’s Inner Canon,,,,,,,,,,,,,,,,,,
《本草纲目》,The Compendium of Materia Medica,,,,,,,,,,,,,,,,,,
农历,lunar calendar,,,,,,,,,,,,,,,,,,
十二生肖,twelve zodiac signs,,,,,,,,,,,,,,,,,,
二十四节气,twenty-four solar terms,,,,,,,,,,,,,,,,,,
天干地支, Heavenly Stems and Earthly Branches,,,,,,,,,,,,,,,,,,
长江,the Yangtze River,,,,,,,,,,,,,,,,,,
黄河,the Yellow River,,,,,,,,,,,,,,,,,,
长城,the Great Wall,,,,,,,,,,,,,,,,,,
故宫,the Forbidden City// the Imperial Palace,,,,,,,,,,,,,,,,,,
颐和园,the Summer Palace,,,,,,,,,,,,,,,,,,
圆明园,the Yuanmingyuan Garden// the Old Summer Palace,,,,,,,,,,,,,,,,,,
苏州园林,Classical Gardens in Suzhou,,,,,,,,,,,,,,,,,,
拙政园,the Humble Administrator’s Garden// Zhuozheng Yuan,,,,,,,,,,,,,,,,,,
敦煌莫高窟,Dunhuang Mogao Grottoes// the Mogao Caves,,,,,,,,,,,,,,,,,,
都江堰水利工程,Dujiangyan Water Conservancy Project// Dujiangyan Irrigation System,,,,,,,,,,,,,,,,,,
京杭大运河,the Grand Canal// the Beijing-Hangzhou Grand Canal,,,,,,,,,,,,,,,,,,
少林寺,Shaolin Temple,,,,,,,,,,,,,,,,,,
秦始皇兵马俑,the Terrocotta Army// the Terracotta Warriors and Horses,,,,,,,,,,,,,,,,,,
唐三彩,Tang tri-colored glazed pottery//tri-colored glazed pottery of the Tang Dynasty,,,,,,,,,,,,,,,,,,
喜马拉雅山脉,the Himalayas,,,,,,,,,,,,,,,,,,
珠穆朗玛峰,Mount Qomolangma,,,,,,,,,,,,,,,,,,
秦岭,Qinling Mountains,,,,,,,,,,,,,,,,,,
青藏高原,Qinghai-Tibet Plateau,,,,,,,,,,,,,,,,,,
黄土高原,Loess Plateau,,,,,,,,,,,,,,,,,,
塔里木盆地,Tarim Basin,,,,,,,,,,,,,,,,,,
 泰山,Mount Tai,,,,,,,,,,,,,,,,,,
布达拉宫,Potala Palace,,,,,,,,,,,,,,,,,,
四合院,siheyuan (courtyard),,,,,,,,,,,,,,,,,,
祠堂,ancestral temple,,,,,,,,,,,,,,,,,,